field,type,sum,min,max,range,min_length,max_length,mean,stddev,variance,nullcount,sparsity,mad,lower_outer_fence,lower_inner_fence,q1,q2_median,q3,iqr,upper_inner_fence,upper_outer_fence,skewness,cardinality,mode,mode_count,mode_occurrences,antimode,antimode_count,antimode_occurrences
,Integer,442214,0,52,52,1,2,24.2322,15.4806,239.6496,0,0,14,-74,-32,10,24,38,28,80,122,0,53,"0,1,10,11,2,3,4,5,6,7,8,9",12,432,52,1,107
Date,String,,2015-01-04,2018-03-25,,10,10,,,,0,0,,,,,,,,,,,169,"2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08,2015-02-15,2015-02-22,2015-03-01,2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12,2015-04-19,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25",166,108,"2015-12-06,2017-06-18,2017-06-25",3,107
AveragePrice,Float,25657.7,0.44,3.25,2.81,3,4,1.406,0.4027,0.1621,0,0,0.28,-0.58,0.26,1.1,1.37,1.66,0.56,2.5,3.34,0.0357,259,1.15,1,202,"*PREVIEW: 0.44,0.46,0.48,2.68,2.78,2.9,2.91,2.95,2.96,2.97",16,1
Total Volume,Float,15523402593.4,84.56,62505646.52,62505561.96,5,11,850644.013,3453450.7312,11926321953083.9512,0,0,102962.47,-1255823.22,-622493.025,10837.17,107376.76,433057.3,422220.13,1066387.495,1699717.69,0.5427,18237,"13234.04,19634.24,2038.99,2858.31,3288.85,3529.44,3713.49,4103.97,46602.16,569349.05,7223.46,9465.99",12,2,"*PREVIEW: 1000.86,100001.45,100036.14,10004.14,10004.86,10005.59,100072.52,100073.91,100089.52,10012...",18225,1
4046,Float,5347110739.26,0.0,22743616.17,22743616.17,3,11,293008.4245,1264954.4222,1600109690126.2373,0,0,8616.69,-329697.555,-164421.9075,853.74,8645.3,111037.505,110183.765,276313.1525,441588.8,0.8586,17702,0.0,1,242,"*PREVIEW: 1.13,1.2,1.23,1.29,1.32,1.33,1.67,1.74,1.76,10.03",17480,1
4225,Float,5386275717.93,0.0,20470572.61,20470572.61,3,11,295154.5684,1204087.4093,1449826489175.3027,0,0,28521.3,-438668.58,-217830.1275,3008.325,29061.02,150233.96,147225.635,371072.4125,591910.865,0.6461,18103,0.0,1,61,"*PREVIEW: 1.31,1.64,10.08,10.19,10.45,10.53,10.61,10.63,10.91,100.4",18021,1
4770,Float,416802342.13,0.0,2546439.11,2546439.11,3,10,22839.736,107461.124,11547893174.0609,0,0,184.99,-18731.46,-9365.73,0,184.99,6243.82,6243.82,15609.55,24975.28,0.9407,12071,0.0,1,5497,"*PREVIEW: 0.83,1.01,1.09,1.11,1.12,1.15,1.16,1.19,1.22,1.23",11543,1
Total Bags,Float,4373175798.39,0.0,19373134.37,19373134.37,3,11,239639.2021,986215.377,972620769882.2716,0,0,37299.96,-312014.94,-153464.46,5086.02,39743.83,110786.34,105700.32,269336.82,427887.3,0.3442,18097,0.0,1,15,"*PREVIEW: 100.0,1000029.46,100013.33,10002.44,10002.54,1000248.77,100042.0,1000540.24,10008533.68,10...",17984,1
Small Bags,Float,3324870837.51,0.0,13384586.8,13384586.8,3,11,182194.6867,746158.0703,556751865895.4316,0,0,25599.49,-238619.54,-117885.545,2848.45,26362.82,83337.78,80489.33,204071.775,324805.77,0.4157,17321,0.0,1,159,"*PREVIEW: 100.68,100.72,1000.2,10000.34,100062.77,10009.77,100099.0,1001.27,1001.42,1001.85",16979,1
Large Bags,Float,991615770.55,0.0,5719096.61,5719096.61,3,10,54338.0881,243959.2801,59516130342.2943,0,0,2647.71,-65591.52,-32732.0325,127.455,2647.71,22033.78,21906.325,54893.2675,87752.755,0.7699,15082,0.0,1,2370,"*PREVIEW: 0.97,1.3,1.33,1.44,1.48,1.55,1.56,1.62,1.64,1.67",14832,1
XLarge Bags,Float,56689177.33,0.0,551693.65,551693.65,3,9,3106.4265,17692.4099,313021367.4282,0,0,0,-398.505,-199.2525,0,0,132.835,132.835,332.0875,531.34,1,5588,0.0,1,12048,"*PREVIEW: 1.0,1.26,1.3,1.38,1.45,1.51,1.52,1.53,1.54,1.6",5186,1
type,String,,conventional,organic,,7,12,,,,0,0,,,,,,,,,,,2,conventional,1,9126,organic,1,9123
year,Integer,36792683,2015,2018,3,4,4,2016.1479,0.9399,0.8834,0,0,1,2009,2012,2015,2016,2017,2,2020,2023,0,4,2017,1,5722,2018,1,1296
region,String,,Albany,WestTexNewMexico,,4,19,,,,0,0,,,,,,,,,,,54,"Albany,Atlanta,BaltimoreWashington,Boise,Boston,BuffaloRochester,California,Charlotte,Chicago,CincinnatiDayton,Columbus,DallasFtWorth,Denver,Detroit,GrandRapids,GreatLakes,HarrisburgScranton,HartfordSpringfield,Houston,Indianapolis,Jacksonville,LasVegas,LosAngeles,Louisville,MiamiFtLauderdale,Midsouth,Nashville,NewOrleansMobile,NewYork,Northeast,NorthernNewEngland,Orlando,Philadelphia,PhoenixTucson,Pittsburgh,Plains,Portland,RaleighGreensboro,RichmondNorfolk,Roanoke,Sacramento,SanDiego,SanFrancisco,Seattle,SouthCarolina,SouthCentral,Southeast,Spokane,StLouis,Syracuse,Tampa,TotalUS,West",53,338,WestTexNewMexico,1,335
